Gene ID	Gene Name 	Periodic Rank	Stage
ENSG00000173546	CSPG4	2.282121356	G1-S
ENSG00000125266	EFNB2	2.109267941	G1-S
ENSG00000165244	ZNF367	2.325315217	G1-S
ENSG00000187189	TSPYL4	2.147057863	G1-S
ENSG00000169258	GPRIN1	2.414238711	G1-S
ENSG00000260336	RP11-395B7.7	2.334351462	G1-S
ENSG00000197724	PHF2	2.228508997	G1-S
ENSG00000007944	MYLIP	2.375172171	G1-S
ENSG00000040487	PQLC2	2.043889877	G1-S
ENSG00000160336	ZNF761	2.435053065	G1-S
ENSG00000143816	WNT9A	2.310330102	G1-S
ENSG00000163283	ALPP	2.455126055	G1-S
ENSG00000162437	RAVER2	2.463408545	G1-S
ENSG00000182253	SYNM	2.463036943	G1-S
ENSG00000196584	XRCC2	2.238537868	G1-S
ENSG00000118412	CASP8AP2	2.244364401	G1-S
ENSG00000031691	CENPQ	2.400458329	G1-S
ENSG00000160305	DIP2A	2.429459836	G1-S
ENSG00000102977	ACD	2.195967128	G1-S
ENSG00000157212	PAXIP1	2.379017358	G1-S
ENSG00000242110	AMACR	2.388342355	G1-S
ENSG00000196700	ZNF512B	2.372782065	G1-S
ENSG00000171227	TMEM37	2.127419531	G1-S
ENSG00000121753	BAI2	2.460825331	G1-S
ENSG00000130193	THEM6	2.332435901	G1-S
ENSG00000177383	MAGEF1	1.710174787	G1-S
ENSG00000185090	MANEAL	2.156835461	G1-S
ENSG00000163295	ALPI	2.00254483	G1-S
ENSG00000160949	TONSL	2.312760358	G1-S
ENSG00000104369	JPH1	1.690759896	G1-S
ENSG00000186523	FAM86B1	2.487213945	G1-S
ENSG00000116525	TRIM62	2.487713452	G1-S
ENSG00000213689	TREX1	2.444659375	G1-S
ENSG00000169683	LRRC45	2.261070553	G1-S
ENSG00000162062	C16orf59	2.181916385	G1-S
ENSG00000215790	SLC35E2	2.261420416	G1-S
ENSG00000234616	JRK	1.913925017	G1-S
ENSG00000092470	WDR76	1.913163058	G1-S
ENSG00000160050	CCDC28B	2.405972063	G1-S
ENSG00000203993	C9orf37	1.882816513	G1-S
ENSG00000184162	NR2C2AP	2.403289871	G1-S
ENSG00000174233	ADCY6	2.363887165	G1-S
ENSG00000160392	C19orf47	2.365595999	G1-S
ENSG00000051180	RAD51	2.188975114	G1-S
ENSG00000168333	C8orf22	2.497324317	G1-S
ENSG00000089094	KDM2B	2.266701938	G1-S
ENSG00000175745	NR2F1	2.378183015	G1-S
ENSG00000161267	BDH1	2.382163639	G1-S
ENSG00000085840	ORC1	2.003020809	G1-S
ENSG00000132906	CASP9	2.415069824	G1-S
ENSG00000186603	HPDL	2.094218064	G1-S
ENSG00000242086	AC069513.3	2.490032586	G1-S
ENSG00000115884	SDC1	2.335577275	G1-S
ENSG00000065328	MCM10	2.257576215	G1-S
ENSG00000147316	MCPH1	2.480267217	G1-S
ENSG00000085999	RAD54L	2.390594124	G1-S
ENSG00000131389	SLC6A6	2.461234962	G1-S
ENSG00000162300	ZFPL1	2.421344366	G1-S
ENSG00000141560	FN3KRP	2.387901139	G1-S
ENSG00000184436	THAP7	2.41967859	G1-S
ENSG00000137504	CREBZF	2.280492783	G1-S
ENSG00000127418	FGFRL1	2.387202648	G1-S
ENSG00000267633	CTB-5E10.3	2.433961903	G1-S
ENSG00000167513	CDT1	1.936556568	G1-S
ENSG00000164649	CDCA7L	2.303723293	G1-S
ENSG00000131470	PSMC3IP	2.388365115	G1-S
ENSG00000250568	RP11-333E13.2	2.481502545	G1-S
ENSG00000116062	MSH6	1.890688443	G1-S
ENSG00000105011	ASF1B	2.285495468	G1-S
ENSG00000243403	RP11-330L19.1	2.495393206	G1-S
ENSG00000260260	RP11-304L19.5	2.265828272	G1-S
ENSG00000103202	NME4	2.49021491	G1-S
ENSG00000176890	TYMS	2.471057711	G1-S
ENSG00000105486	LIG1	2.364690876	G1-S
ENSG00000143320	CRABP2	2.469200961	G1-S
ENSG00000112118	MCM3	2.218567884	G1-S
ENSG00000104738	MCM4	2.222475443	G1-S
ENSG00000179979	CRIPAK	2.424744593	G1-S
ENSG00000174804	FZD4	2.296774835	G1-S
ENSG00000230650	AC112229.1	2.466501673	G1-S
ENSG00000258711	RP11-218E20.3	2.168988598	G1-S
ENSG00000137414	FAM8A1	2.463392729	G1-S
ENSG00000168795	ZBTB5	2.351205656	G1-S
ENSG00000159167	STC1	2.269135062	G1-S
ENSG00000119938	PPP1R3C	1.971472676	G1-S
ENSG00000105855	ITGB8	2.205588935	G1-S
ENSG00000090776	EFNB1	1.972898099	G1-S
ENSG00000205275	RP13-608F4.4	2.43658328	G1-S
ENSG00000102218	RP2	2.394749041	G1-S
ENSG00000197296	FITM2	2.492742689	G1-S
ENSG00000143126	CELSR2	2.385636506	G1-S
ENSG00000070159	PTPN3	2.461785141	G1-S
ENSG00000185219	ZNF445	2.316296671	G1-S
ENSG00000126368	NR1D1	2.496057292	G1-S
