#bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
585	chr1	28735	29810	CpG: 116	1075	116	787	21.6	73.2	0.83
586	chr1	135124	135563	CpG: 30	439	30	295	13.7	67.2	0.64
587	chr1	327790	328229	CpG: 29	439	29	295	13.2	67.2	0.62
588	chr1	437151	438164	CpG: 84	1013	84	734	16.6	72.5	0.64
588	chr1	449273	450544	CpG: 99	1271	99	777	15.6	61.1	0.84
589	chr1	533219	534114	CpG: 94	895	94	570	21	63.7	1.04
589	chr1	544738	546649	CpG: 171	1911	171	1405	17.9	73.5	0.67
590	chr1	713984	714547	CpG: 60	563	60	385	21.3	68.4	0.92
590	chr1	762416	763445	CpG: 115	1029	115	673	22.4	65.4	1.07
591	chr1	788863	789211	CpG: 28	348	28	192	16.1	55.2	1.06
591	chr1	801975	802338	CpG: 24	363	24	243	13.2	66.9	0.79
591	chr1	805198	805628	CpG: 50	430	50	316	23.3	73.5	0.87
591	chr1	839694	840619	CpG: 83	925	83	525	17.9	56.8	1.11
591	chr1	844299	845883	CpG: 153	1584	153	1083	19.3	68.4	0.85
591	chr1	854765	854973	CpG: 16	208	16	140	15.4	67.3	0.68
591	chr1	858970	861632	CpG: 257	2662	257	1642	19.3	61.7	1.02
591	chr1	869332	871872	CpG: 178	2540	178	1740	14	68.5	0.64
591	chr1	875730	878363	CpG: 246	2633	246	1859	18.7	70.6	0.75
591	chr1	886356	886602	CpG: 18	246	18	163	14.6	66.3	0.67
591	chr1	894313	902654	CpG: 615	8341	615	5505	14.7	66	0.68
591	chr1	906296	906538	CpG: 23	242	23	175	19	72.3	0.74
591	chr1	912869	913153	CpG: 28	284	28	222	19.7	78.2	0.97
592	chr1	919726	919927	CpG: 15	201	15	139	14.9	69.2	0.63
592	chr1	933387	937410	CpG: 413	4023	413	2728	20.5	67.8	0.89
592	chr1	948670	948894	CpG: 19	224	19	138	17	61.6	0.89
592	chr1	949329	949851	CpG: 35	522	35	344	13.4	65.9	0.62
592	chr1	954768	956343	CpG: 148	1575	148	918	18.8	58.3	1.11
592	chr1	963795	964507	CpG: 54	712	54	510	15.2	71.6	0.64
592	chr1	967966	970238	CpG: 185	2272	185	1365	16.3	60.1	0.9
592	chr1	975496	980305	CpG: 351	4809	351	3126	14.6	65	0.69
592	chr1	981068	981400	CpG: 26	332	26	224	15.7	67.5	0.7
592	chr1	982152	982511	CpG: 26	359	26	248	14.5	69.1	0.61
592	chr1	983174	983612	CpG: 32	438	32	307	14.6	70.1	0.62
592	chr1	984206	984429	CpG: 19	223	19	154	17	69.1	0.72
592	chr1	990274	990694	CpG: 29	420	29	276	13.8	65.7	0.64
592	chr1	994436	995303	CpG: 98	867	98	631	22.6	72.8	0.87
592	chr1	999678	999911	CpG: 20	233	20	167	17.2	71.7	0.67
592	chr1	1002663	1005318	CpG: 213	2655	213	1739	16	65.5	0.75
592	chr1	1011509	1013402	CpG: 122	1893	122	1344	12.9	71	0.62
592	chr1	1016863	1017439	CpG: 41	576	41	395	14.2	68.6	0.61
592	chr1	1018099	1018390	CpG: 30	291	30	206	20.6	70.8	0.82
592	chr1	1019818	1020026	CpG: 15	208	15	144	14.4	69.2	0.6
592	chr1	1023143	1023347	CpG: 19	204	19	143	18.6	70.1	0.89
592	chr1	1024075	1024614	CpG: 44	539	44	369	16.3	68.5	0.7
592	chr1	1026377	1026625	CpG: 20	248	20	176	16.1	71	0.64
592	chr1	1027509	1027730	CpG: 18	221	18	160	16.3	72.4	0.62
592	chr1	1046044	1046340	CpG: 25	296	25	181	16.9	61.1	0.93
593	chr1	1050515	1050830	CpG: 31	315	31	184	19.7	58.4	1.17
593	chr1	1051178	1052445	CpG: 151	1267	151	870	23.8	68.7	1.01
593	chr1	1072369	1072847	CpG: 52	478	52	344	21.8	72	0.84
593	chr1	1093211	1093476	CpG: 25	265	25	204	18.9	77	0.64
593	chr1	1098043	1100584	CpG: 183	2541	183	1652	14.4	65	0.69
593	chr1	1109314	1110145	CpG: 59	831	59	526	14.2	63.3	0.71
593	chr1	1115574	1116006	CpG: 32	432	32	302	14.8	69.9	0.61
593	chr1	1132827	1133218	CpG: 40	391	40	291	20.5	74.4	0.75
593	chr1	1136360	1137156	CpG: 105	796	105	622	26.4	78.1	0.86
593	chr1	1141670	1142150	CpG: 55	480	55	343	22.9	71.5	0.9
593	chr1	1145568	1145878	CpG: 25	310	25	210	16.1	67.7	0.7
593	chr1	1146708	1146914	CpG: 16	206	16	141	15.5	68.4	0.67
593	chr1	1149055	1149524	CpG: 38	469	38	342	16.2	72.9	0.62
593	chr1	1152522	1153134	CpG: 71	612	71	409	23.2	66.8	1.04
593	chr1	1153784	1154419	CpG: 44	635	44	417	13.9	65.7	0.65
593	chr1	1159168	1159528	CpG: 27	360	27	242	15	67.2	0.68
593	chr1	1161959	1162281	CpG: 24	322	24	213	14.9	66.1	0.69
593	chr1	1163502	1163895	CpG: 34	393	34	277	17.3	70.5	0.7
593	chr1	1167001	1168985	CpG: 240	1984	240	1305	24.2	65.8	1.12
593	chr1	1173915	1174263	CpG: 27	348	27	250	15.5	71.8	0.61
593	chr1	1177885	1178207	CpG: 26	322	26	228	16.1	70.8	0.66
594	chr1	1181756	1182470	CpG: 81	714	81	510	22.7	71.4	0.89
594	chr1	1189396	1190245	CpG: 68	849	68	567	16	66.8	0.72
594	chr1	1190522	1190799	CpG: 25	277	25	182	18.1	65.7	0.84
594	chr1	1203166	1203597	CpG: 31	431	31	274	14.4	63.6	0.72
594	chr1	1208515	1209942	CpG: 155	1427	155	1002	21.7	70.2	0.88
594	chr1	1228780	1230163	CpG: 130	1383	130	934	18.8	67.5	0.83
594	chr1	1242400	1245185	CpG: 281	2785	281	1766	20.2	63.4	1.01
594	chr1	1247918	1248493	CpG: 41	575	41	393	14.3	68.3	0.63
594	chr1	1254322	1254548	CpG: 18	226	18	154	15.9	68.1	0.7
594	chr1	1259643	1260635	CpG: 114	992	114	703	23	70.9	0.92
594	chr1	1262665	1263420	CpG: 66	755	66	525	17.5	69.5	0.73
594	chr1	1265206	1265429	CpG: 20	223	20	125	17.9	56.1	1.16
594	chr1	1267085	1267286	CpG: 16	201	16	132	15.9	65.7	0.75
594	chr1	1267435	1268986	CpG: 116	1551	116	1059	15	68.3	0.64
594	chr1	1271425	1272074	CpG: 51	649	51	467	15.7	72	0.61
594	chr1	1272377	1272634	CpG: 20	257	20	173	15.6	67.3	0.69
594	chr1	1283933	1285345	CpG: 160	1412	160	825	22.7	58.4	1.33
594	chr1	1289707	1291126	CpG: 152	1419	152	897	21.4	63.2	1.07
74	chr1	1309140	1311039	CpG: 167	1899	167	1267	17.6	66.7	0.8
595	chr1	1322644	1322924	CpG: 25	280	25	169	17.9	60.4	0.98
595	chr1	1334071	1335602	CpG: 154	1531	154	965	20.1	63	1.02
595	chr1	1342004	1342952	CpG: 98	948	98	619	20.7	65.3	0.99
595	chr1	1355159	1356000	CpG: 108	841	108	649	25.7	77.2	0.86
595	chr1	1361560	1361787	CpG: 20	227	20	171	17.6	75.3	0.63
595	chr1	1362954	1363299	CpG: 50	345	50	238	29	69	1.24
595	chr1	1370767	1371449	CpG: 83	682	83	447	24.3	65.5	1.14
595	chr1	1374461	1375584	CpG: 122	1123	122	803	21.7	71.5	0.85
595	chr1	1389555	1389889	CpG: 27	334	27	230	16.2	68.9	0.7
595	chr1	1396085	1396338	CpG: 19	253	19	163	15	64.4	0.73
595	chr1	1406844	1407821	CpG: 119	977	119	647	24.4	66.2	1.11
595	chr1	1414034	1414532	CpG: 40	498	40	340	16.1	68.3	0.69
595	chr1	1417285	1417753	CpG: 42	468	42	327	17.9	69.9	0.76
595	chr1	1420226	1420684	CpG: 34	458	34	314	14.8	68.6	0.63
596	chr1	1444588	1444849	CpG: 19	261	19	172	14.6	65.9	0.67
596	chr1	1446878	1448205	CpG: 151	1327	151	878	22.8	66.2	1.04
596	chr1	1452701	1453199	CpG: 40	498	40	340	16.1	68.3	0.69
596	chr1	1455302	1455892	CpG: 48	590	48	408	16.3	69.2	0.69
596	chr1	1456829	1457074	CpG: 18	245	18	163	14.7	66.5	0.67
596	chr1	1457954	1459029	CpG: 77	1075	77	721	14.3	67.1	0.64
